SCIENTIFIC_NAME	DISTRIBUTION
Eucalyptus camaldulensis	Inland Australia
Eucalyptus carnea	South Eastern Australia
Eucalyptus cloeziana	NE QLD
Eucalyptus cloeziana	Central QLD S to Gympie
Eucalyptus crebra	E QLD
Eucalyptus crebra	Central E NSW
Eucalyptus curtisii	SE QLD
Eucalyptus deanei	QLD
Eucalyptus deanei	NSW
Eucalyptus longirostrata	E QLD
Eucalyptus major	SE QLD
Eucalyptus major	Central E NSW
Eucalyptus melanophloia	NSW
Eucalyptus melanophloia	QLD
Eucalyptus melanophloia	NT
Eucalyptus melliodora	QLD to VIC
Eucalyptus microcorys	SE QLD to Central E NSW
Eucalyptus moluccana	NE QLD to SE NSW
Eucalyptus pellita	NE QLD
Eucalyptus pellita	New Guinea
Eucalyptus propinqua	SE QLD
Eucalyptus propinqua	Central E NSW
Eucalyptus raveretiana	NE QLD
Eucalyptus resinifera	SE QLD to Central E NSW
Eucalyptus robusta	Central QLD to SE NSW
Eucalyptus robusta x tereticornis	E QLD to E VIC
Eucalyptus robusta x tereticornis	New Guinea
Eucalyptus saligna subsp. saligna	Central QLD to SE NSW
Eucalyptus seeana	SE QLD
Eucalyptus seeana	Central E NSW
Eucalyptus siderophloia	SE QLD to Central E NSW
Eucalyptus sp.	Unknown
Eucalyptus tereticornis subsp. tereticornis	E QLD to E VIC
Eucalyptus tereticornis subsp. tereticornis	New Guinea
Eucalyptus thozetiana	Inland and eastern Australia
Euroschinus falcatus var. falcatus	CYP
Euroschinus falcatus var. falcatus	NEQ
Euroschinus falcatus var. falcatus	CEQ to SE NSW
Excoecaria agallocha	India to Australia
Falcataria toona	QLD
Ficus benjamina var. benjamina	Asia
Ficus benjamina var. benjamina	Australia
Ficus congesta	NT
Ficus congesta	CYP and NEQ
Ficus coronata	E Australia
Ficus macrophylla	E Australia
Ficus macrophylla	Lord Howe Island
Ficus macrophylla forma macrophylla	S QLD to N NSW
Ficus microcarpa	E QLD
Ficus microcarpa	New Guinea
Ficus microcarpa var. hilli	Central E QLD to New Guinea
